# t  x_0 x_1 x_2 x_3 x_4 x_5 x_6 x_7 x_8 x_9 x_10 x_11 x_12 x_13 x_14 x_15 x_16 x_17 x_18 x_19 x_20 x_21 x_22 x_23 x_24 x_25 x_26 x_27 x_28 x_29 x_30 x_31 x_32 x_33 x_34 x_35 x_36 x_37 x_38 x_39 x_40 x_41 x_42 x_43 x_44 x_45 x_46 x_47 x_48 x_49 x_50 x_51 x_52 x_53 x_54 x_55 x_56 x_57 x_58 x_59 x_60 x_61 x_62 x_63 x_64 x_65 x_66 x_67 x_68 x_69 x_70 x_71 x_72 x_73 x_74 x_75 x_76 x_77 x_78 x_79 x_80 x_81 x_82 x_83 x_84 x_85 x_86 x_87 x_88 x_89 x_90 x_91 x_92 x_93 x_94 x_95 x_96 x_97 x_98 x_99 x_100 x_101 x_102 x_103 x_104 x_105 x_106 x_107 x_108 x_109 x_110 x_111 x_112 x_113 x_114 x_115 x_116 x_117 x_118 x_119 x_120 x_121 x_122 x_123 x_124 x_125 x_126 x_127 x_128 x_129 x_130 x_131 x_132 x_133 x_134 x_135 x_136 x_137 x_138 x_139 x_140 x_141 x_142 x_143 x_144 x_145 x_146 x_147 x_148 x_149 x_150 x_151 x_152 x_153 x_154 x_155 x_156 x_157 x_158 x_159 x_160 x_161 x_162 x_163 x_164 x_165 x_166 x_167 x_168 x_169 x_170 x_171 x_172 x_173 x_174 x_175 x_176 x_177 x_178 x_179 x_180 x_181 x_182 x_183 x_184 x_185 x_186 x_187 x_188 x_189 x_190 x_191 x_192 x_193 x_194 x_195 x_196 x_197 x_198 x_199 x_200
0 0 2.5 5 7.5 10 12.5 15 17.5 20 22.5 25 27.5 30 32.5 35 37.5 40 42.5 45 47.5 50 52.5 55 57.5 60 62.5 65 67.5 70 72.5 75 77.5 80 82.5 85 87.5 90 92.5 95 97.5 100 102.5 105 107.5 110 112.5 115 117.5 120 122.5 125 127.5 130 132.5 135 137.5 140 142.5 145 147.5 150 152.5 155 157.5 160 162.5 165 167.5 170 172.5 175 177.5 180 182.5 185 187.5 190 192.5 195 197.5 200 202.5 205 207.5 210 212.5 215 217.5 220 222.5 225 227.5 230 232.5 235 237.5 240 242.5 245 247.5 250 252.5 255 257.5 260 262.5 265 267.5 270 272.5 275 277.5 280 282.5 285 287.5 290 292.5 295 297.5 300 302.5 305 307.5 310 312.5 315 317.5 320 322.5 325 327.5 330 332.5 335 337.5 340 342.5 345 347.5 350 352.5 355 357.5 360 362.5 365 367.5 370 372.5 375 377.5 380 382.5 385 387.5 390 392.5 395 397.5 400 402.5 405 407.5 410 412.5 415 417.5 420 422.5 425 427.5 430 432.5 435 437.5 440 442.5 445 447.5 450 452.5 455 457.5 460 462.5 465 467.5 470 472.5 475 477.5 480 482.5 485 487.5 490 492.5 495 497.5 500
1 0 2.5 5 7.5 10 12.5 15 17.5 20 22.5 25 27.5 30 32.5 35 37.5 40 42.5 45 47.5 50 52.5 55 57.5 60 62.5 65 67.5 70 72.5 75 77.5 79.9999 82.4999 84.9999 87.4999 89.9999 92.4998 94.9998 97.4997 99.9997 102.5 105 107.499 109.999 112.499 114.999 117.499 119.999 122.498 124.998 127.498 129.998 132.497 134.997 137.496 139.996 142.495 144.995 147.494 149.993 152.492 154.991 157.49 159.989 162.487 164.986 167.484 169.982 172.48 174.978 177.475 179.972 182.469 184.966 187.462 189.958 192.454 194.949 197.444 199.938 202.432 204.925 207.418 209.91 212.402 214.893 217.383 219.872 222.361 224.849 227.335 229.821 232.306 234.789 237.272 239.753 242.233 244.711 247.188 249.663 252.137 254.609 257.079 259.546 262.012 264.476 266.937 269.396 271.852 274.306 276.757 279.204 281.649 284.09 286.527 288.961 291.391 293.817 296.239 298.657 301.069 303.477 305.88 308.277 310.669 313.055 315.434 317.808 320.174 322.534 324.887 327.231 329.568 331.897 334.216 336.527 338.829 341.121 343.402 345.673 347.933 350.181 352.418 354.642 356.853 359.05 361.234 363.403 365.557 367.696 369.818 371.924 374.012 376.081 378.132 380.164 382.175 384.166 386.134 388.081 390.003 391.902 393.776 395.624 397.445 399.239 401.004 402.74 404.445 406.118 407.759 409.365 410.937 412.473 413.972 415.432 416.853 418.233 419.571 420.864 422.113 423.316 424.471 425.576 426.631 427.633 428.581 429.474 430.309 431.085 431.801 432.454 433.042 433.564 434.017 434.4 434.711 434.948 435.107 435.188
2 0 2.5 5 7.5 10 12.5 15 17.5 20 22.5 25 27.5 30 32.5 35 37.5 40 42.5 45 47.5 50 52.5 55 57.5 59.9999 62.4999 64.9999 67.4999 69.9998 72.4998 74.9997 77.4996 79.9995 82.4994 84.9993 87.4991 89.9989 92.4987 94.9984 97.4981 99.9977 102.497 104.997 107.496 109.995 112.495 114.994 117.493 119.992 122.49 124.989 127.487 129.985 132.483 134.981 137.478 139.975 142.472 144.968 147.464 149.96 152.455 154.95 157.444 159.937 162.43 164.923 167.414 169.905 172.395 174.884 177.372 179.859 182.345 184.829 187.313 189.795 192.276 194.755 197.233 199.709 202.183 204.655 207.125 209.593 212.059 214.523 216.984 219.442 221.898 224.351 226.8 229.247 231.69 234.129 236.565 238.997 241.424 243.848 246.266 248.681 251.09 253.494 255.893 258.286 260.673 263.055 265.43 267.798 270.16 272.514 274.861 277.2 279.532 281.855 284.169 286.475 288.771 291.058 293.334 295.601 297.857 300.102 302.335 304.557 306.767 308.964 311.149 313.32 315.477 317.621 319.75 321.863 323.962 326.045 328.111 330.16 332.193 334.207 336.204 338.182 340.141 342.08 343.999 345.897 347.775 349.631 351.464 353.275 355.063 356.828 358.568 360.284 361.974 363.639 365.277 366.889 368.473 370.03 371.558 373.057 374.527 375.968 377.378 378.757 380.104 381.42 382.704 383.954 385.172 386.355 387.505 388.62 389.699 390.744 391.752 392.724 393.66 394.558 395.419 396.243 397.028 397.775 398.484 399.154 399.784 400.376 400.928 401.441 401.914 402.347 402.74 403.094 403.408 403.682 403.916 404.111 404.266 404.382 404.459 404.497
3 0 2.5 5 7.5 10 12.5 15 17.5 20 22.5 25 27.5 30 32.5 35 37.5 40 42.5 45 47.4999 49.9999 52.4999 54.9998 57.4998 59.9997 62.4996 64.9995 67.4994 69.9992 72.499 74.9987 77.4984 79.998 82.4975 84.997 87.4963 89.9956 92.4947 94.9937 97.4925 99.9911 102.489 104.988 107.486 109.983 112.481 114.978 117.474 119.97 122.466 124.961 127.456 129.95 132.443 134.936 137.428 139.919 142.409 144.898 147.386 149.873 152.359 154.844 157.327 159.809 162.289 164.767 167.244 169.718 172.191 174.662 177.13 179.596 182.059 184.52 186.978 189.433 191.885 194.333 196.778 199.22 201.657 204.091 206.52 208.945 211.366 213.781 216.192 218.597 220.997 223.391 225.78 228.162 230.538 232.907 235.269 237.624 239.971 242.311 244.643 246.966 249.281 251.587 253.884 256.172 258.449 260.717 262.974 265.221 267.456 269.68 271.892 274.093 276.281 278.456 280.618 282.767 284.901 287.022 289.128 291.22 293.296 295.357 297.401 299.43 301.441 303.436 305.413 307.373 309.314 311.237 313.141 315.026 316.891 318.736 320.56 322.364 324.147 325.909 327.648 329.366 331.061 332.733 334.382 336.008 337.61 339.187 340.74 342.268 343.771 345.249 346.701 348.127 349.526 350.899 352.246 353.565 354.856 356.12 357.357 358.565 359.744 360.896 362.018 363.112 364.176 365.212 366.218 367.194 368.141 369.057 369.944 370.801 371.628 372.425 373.191 373.927 374.633 375.308 375.953 376.567 377.151 377.705 378.229 378.722 379.185 379.618 380.021 380.395 380.738 381.052 381.336 381.591 381.817 382.013 382.181 382.321 382.432 382.515 382.57 382.597
4 0 2.5 5 7.5 10 12.5 15 17.5 20 22.5 25 27.5 30 32.5 35 37.5 39.9999 42.4999 44.9999 47.4998 49.9997 52.4996 54.9995 57.4993 59.999 62.4987 64.9984 67.4979 69.9974 72.4967 74.9959 77.495 79.9939 82.4926 84.991 87.4892 89.9871 92.4847 94.9819 97.4787 99.9751 102.471 104.966 107.461 109.955 112.448 114.941 117.432 119.923 122.413 124.901 127.389 129.875 132.359 134.843 137.324 139.804 142.282 144.758 147.232 149.704 152.174 154.641 157.105 159.567 162.025 164.481 166.933 169.381 171.827 174.268 176.705 179.138 181.567 183.991 186.41 188.824 191.233 193.636 196.033 198.425 200.81 203.189 205.561 207.927 210.285 212.635 214.978 217.313 219.639 221.957 224.266 226.566 228.857 231.138 233.409 235.669 237.919 240.158 242.386 244.602 246.806 248.999 251.178 253.346 255.5 257.64 259.767 261.88 263.979 266.063 268.132 270.186 272.224 274.246 276.252 278.242 280.215 282.171 284.109 286.029 287.932 289.816 291.682 293.529 295.356 297.164 298.952 300.721 302.469 304.196 305.903 307.588 309.252 310.895 312.516 314.114 315.691 317.244 318.775 320.283 321.768 323.23 324.668 326.082 327.473 328.839 330.181 331.498 332.791 334.059 335.303 336.521 337.714 338.882 340.025 341.142 342.234 343.3 344.34 345.355 346.343 347.306 348.244 349.155 350.04 350.899 351.733 352.54 353.321 354.077 354.806 355.51 356.188 356.84 357.466 358.067 358.642 359.191 359.715 360.214 360.687 361.135 361.559 361.957 362.331 362.68 363.004 363.305 363.581 363.833 364.061 364.266 364.447 364.604 364.739 364.85 364.939 365.006 365.05 365.072
5 0 2.5 5 7.5 10 12.5 15 17.5 20 22.5 25 27.5 30 32.4999 34.9999 37.4999 39.9998 42.4997 44.9996 47.4994 49.9992 52.4989 54.9985 57.498 59.9974 62.4967 64.9958 67.4947 69.9933 72.4917 74.9899 77.4876 79.985 82.482 84.9785 87.4744 89.9698 92.4644 94.9583 97.4514 99.9437 102.435 104.925 107.414 109.902 112.388 114.873 117.356 119.838 122.317 124.795 127.271 129.744 132.215 134.683 137.149 139.611 142.071 144.527 146.98 149.429 151.875 154.316 156.754 159.186 161.615 164.038 166.456 168.869 171.276 173.678 176.074 178.463 180.846 183.222 185.591 187.952 190.307 192.653 194.991 197.321 199.643 201.955 204.258 206.552 208.836 211.11 213.374 215.627 217.869 220.1 222.32 224.528 226.724 228.907 231.078 233.236 235.381 237.512 239.629 241.733 243.822 245.896 247.956 250 252.029 254.042 256.039 258.02 259.984 261.932 263.862 265.775 267.671 269.549 271.408 273.249 275.072 276.876 278.661 280.427 282.173 283.9 285.606 287.293 288.959 290.605 292.23 293.835 295.418 296.98 298.521 300.041 301.538 303.014 304.468 305.9 307.31 308.697 310.062 311.404 312.724 314.021 315.295 316.546 317.774 318.979 320.161 321.32 322.456 323.568 324.657 325.723 326.765 327.784 328.779 329.751 330.7 331.625 332.527 333.406 334.261 335.093 335.902 336.687 337.449 338.188 338.904 339.597 340.268 340.915 341.539 342.141 342.72 343.277 343.811 344.323 344.813 345.281 345.727 346.151 346.553 346.934 347.293 347.631 347.948 348.244 348.519 348.773 349.007 349.22 349.413 349.586 349.739 349.872 349.986 350.08 350.155 350.211 350.249 350.267
6 0 2.5 5 7.5 10 12.5 15 17.5 20 22.5 25 27.4999 29.9999 32.4999 34.9998 37.4996 39.9995 42.4992 44.9989 47.4985 49.998 52.4973 54.9965 57.4954 59.9941 62.4925 64.9905 67.4882 69.9854 72.4822 74.9783 77.4739 79.9687 82.4627 84.9558 87.4479 89.939 92.4289 94.9174 97.4046 99.8902 102.374 104.856 107.336 109.815 112.29 114.764 117.235 119.703 122.168 124.63 127.089 129.544 131.995 134.443 136.887 139.326 141.761 144.19 146.615 149.035 151.449 153.857 156.26 158.656 161.046 163.429 165.805 168.174 170.535 172.889 175.234 177.571 179.9 182.219 184.53 186.831 189.122 191.403 193.674 195.935 198.185 200.423 202.65 204.866 207.07 209.261 211.44 213.606 215.759 217.899 220.025 222.137 224.235 226.319 228.388 230.442 232.481 234.505 236.513 238.505 240.481 242.44 244.383 246.309 248.218 250.11 251.984 253.841 255.68 257.5 259.302 261.086 262.851 264.597 266.324 268.032 269.721 271.39 273.039 274.668 276.278 277.867 279.436 280.985 282.513 284.02 285.507 286.973 288.418 289.842 291.244 292.626 293.986 295.325 296.643 297.939 299.213 300.466 301.698 302.907 304.095 305.262 306.406 307.529 308.631 309.71 310.768 311.804 312.818 313.81 314.781 315.73 316.658 317.564 318.448 319.311 320.153 320.973 321.771 322.549 323.305 324.04 324.754 325.447 326.119 326.771 327.401 328.012 328.601 329.17 329.719 330.247 330.756 331.244 331.713 332.162 332.591 333.001 333.391 333.762 334.114 334.447 334.761 335.057 335.333 335.592 335.832 336.054 336.258 336.444 336.613 336.763 336.897 337.013 337.112 337.195 337.26 337.309 337.342 337.358
7 0 2.5 5 7.5 10 12.5 15 17.5 20 22.5 24.9999 27.4999 29.9998 32.4997 34.9995 37.4992 39.9988 42.4983 44.9977 47.4968 49.9957 52.4944 54.9927 57.4906 59.988 62.485 64.9813 67.477 69.9718 72.4659 74.9589 77.4509 79.9416 82.4311 84.9191 87.4055 89.8901 92.3729 94.8537 97.3322 99.8083 102.282 104.753 107.221 109.686 112.147 114.605 117.059 119.509 121.955 124.397 126.834 129.266 131.693 134.114 136.53 138.94 141.343 143.741 146.131 148.515 150.892 153.261 155.622 157.975 160.32 162.656 164.984 167.302 169.611 171.91 174.199 176.478 178.746 181.004 183.25 185.485 187.709 189.92 192.12 194.306 196.48 198.642 200.789 202.924 205.044 207.151 209.243 211.321 213.384 215.432 217.465 219.483 221.484 223.47 225.44 227.393 229.33 231.25 233.153 235.039 236.908 238.759 240.593 242.408 244.206 245.985 247.746 249.489 251.213 252.918 254.604 256.271 257.919 259.548 261.157 262.746 264.316 265.866 267.397 268.907 270.398 271.868 273.318 274.748 276.158 277.548 278.917 280.265 281.593 282.901 284.188 285.454 286.7 287.926 289.13 290.315 291.478 292.621 293.743 294.845 295.926 296.987 298.027 299.047 300.046 301.024 301.983 302.921 303.839 304.736 305.614 306.471 307.308 308.125 308.923 309.7 310.458 311.196 311.915 312.614 313.293 313.954 314.595 315.217 315.82 316.404 316.969 317.516 318.044 318.553 319.044 319.517 319.972 320.409 320.827 321.228 321.612 321.978 322.326 322.657 322.971 323.269 323.549 323.812 324.059 324.289 324.503 324.701 324.883 325.049 325.199 325.333 325.452 325.556 325.644 325.718 325.776 325.819 325.848 325.863
8 0 2.5 5 7.5 10 12.5 15 17.5 20 22.4999 24.9998 27.4997 29.9995 32.4993 34.9989 37.4983 39.9976 42.4967 44.9954 47.4938 49.9918 52.4894 54.9863 57.4826 59.9781 62.4728 64.9665 67.459 69.9504 72.4404 74.9289 77.4157 79.9007 82.3836 84.8644 87.3429 89.8187 92.2919 94.762 97.229 99.6926 102.153 104.609 107.061 109.509 111.952 114.39 116.823 119.251 121.674 124.09 126.5 128.904 131.302 133.692 136.075 138.451 140.818 143.178 145.529 147.872 150.206 152.53 154.845 157.151 159.446 161.731 164.005 166.268 168.52 170.761 172.99 175.207 177.411 179.603 181.783 183.949 186.102 188.242 190.367 192.479 194.576 196.659 198.727 200.78 202.818 204.841 206.848 208.839 210.814 212.773 214.715 216.641 218.55 220.442 222.317 224.175 226.015 227.838 229.643 231.43 233.198 234.949 236.681 238.395 240.091 241.767 243.425 245.064 246.685 248.286 249.868 251.43 252.974 254.498 256.002 257.487 258.953 260.399 261.825 263.232 264.619 265.986 267.334 268.661 269.969 271.257 272.526 273.774 275.003 276.212 277.401 278.57 279.72 280.849 281.96 283.05 284.121 285.172 286.204 287.216 288.208 289.182 290.136 291.07 291.986 292.882 293.759 294.617 295.456 296.276 297.078 297.86 298.624 299.37 300.097 300.806 301.496 302.169 302.823 303.459 304.077 304.678 305.261 305.826 306.374 306.904 307.418 307.914 308.393 308.855 309.3 309.729 310.141 310.537 310.917 311.28 311.627 311.959 312.274 312.574 312.858 313.127 313.381 313.619 313.843 314.051 314.245 314.423 314.588 314.738 314.873 314.995 315.103 315.196 315.276 315.342 315.395 315.434 315.46 315.473
9 0 2.5 5 7.5 10 12.5 15 17.5 19.9999 22.4998 24.9997 27.4994 29.9991 32.4986 34.9979 37.4969 39.9956 42.4939 44.9917 47.489 49.9856 52.4814 54.9763 57.4702 59.9629 62.4543 64.9442 67.4325 69.9189 72.4034 74.8856 77.3655 79.8427 82.3171 84.7884 87.2565 89.721 92.1818 94.6385 97.091 99.5389 101.982 104.42 106.853 109.28 111.701 114.116 116.524 118.926 121.321 123.708 126.088 128.459 130.823 133.178 135.524 137.861 140.189 142.507 144.815 147.112 149.4 151.676 153.941 156.195 158.437 160.667 162.885 165.091 167.284 169.463 171.63 173.783 175.923 178.048 180.159 182.256 184.338 186.405 188.457 190.494 192.516 194.521 196.511 198.485 200.442 202.383 204.307 206.215 208.105 209.979 211.835 213.674 215.495 217.299 219.085 220.853 222.603 224.334 226.048 227.743 229.42 231.078 232.718 234.339 235.941 237.525 239.089 240.635 242.161 243.669 245.157 246.627 248.077 249.508 250.92 252.313 253.686 255.04 256.375 257.691 258.987 260.264 261.522 262.761 263.981 265.181 266.363 267.525 268.668 269.792 270.897 271.983 273.051 274.099 275.129 276.139 277.132 278.105 279.06 279.997 280.915 281.815 282.696 283.56 284.405 285.232 286.041 286.833 287.606 288.362 289.1 289.821 290.525 291.211 291.88 292.532 293.166 293.784 294.386 294.97 295.538 296.089 296.624 297.143 297.646 298.132 298.603 299.058 299.497 299.921 300.329 300.722 301.1 301.462 301.81 302.142 302.46 302.764 303.052 303.327 303.587 303.833 304.065 304.283 304.487 304.678 304.855 305.018 305.169 305.306 305.43 305.541 305.639 305.725 305.798 305.858 305.906 305.942 305.966 305.978
